Company,Parsed?,URL of policy,Email,Billing Info (Credit Card Number),Social Security Number,Ads and Marketing,Location,Collecting PII of Children,Sharing with Law Enforcement,Notice of Policy Change,Choice of Limiting Your Info,Aggregation
Christopher & Banks Corporation,Y,https://www.christopherandbanks.com/helpdeskarticle/-/-cbk_helpdesk_category_privacy_security_cmp_20120609_051946-cbk_helpdesk_article_privacy_policy_cmp_20120609_113226,2,2,3,3,2,3,1,1,3,1
"Men&#39;s Wearhouse, Inc. (The)",Y,http://www.menswearhouse.com/ContentAttachmentView?contentName=MW4ABTprivacySecurity.html&catalogId=12004&langId=-1&storeId=12751,2,2,3,1,2,3,1,2,3,2
"Stein Mart, Inc.",Y,http://www.steinmart.com/helpdeskarticle/-/-helpdesk_category_cmp_20121219_173952-smt_helpdesk_landing_article_privacy_policy_cmp_20120808_142218,2,2,3,1,2,1,1,1,1,2
"The Finish Line, Inc.",Y,http://www.finishline.com/store/customer_service/privacy_policy.jsp,2,3,3,1,2,3,2,2,2,2
"Alliance Resource Partners, L.P.",Y,http://www.arlp.com/privacy-statement/,2,3,3,3,3,2,1,1,1,2
"Arch Coal, Inc.",Y,http://www.archcoal.com/news/privacypolicy.aspx,2,3,3,3,3,1,1,2,1,2
Canadian Imperial Bank of Commerce,Y,https://www.cibc.com/ca/legal/cibc-online-privacy-statement.html,2,2,3,2,2,2,1,2,1,3
"Cisco Systems, Inc.",delete,http://www.cisco.com/web/siteassets/legal/privacy_full.html,2,2,3,1,2,3,2,2,3,2
Apple Inc.,duplicate,http://www.apple.com/privacy/,2,2,3,2,1,3,1,2,3,2
Electronic Arts Inc.,duplicate,http://www.ea.com/privacy-policy,1,3,3,3,2,1,3,2,2,2
PTC Inc.,Y,http://www.ptc.com/legal-policies/privacy-policy,2,3,3,2,3,3,2,2,3,2
Progress Software Corporation,Y,https://www.progress.com/privacy,2,3,3,2,3,3,2,2,3,2
"Synopsys, Inc.",Y,http://www.synopsys.com/Company/Pages/SynopsysPrivacy.aspx,2,3,3,2,3,3,2,2,2,2
Datawatch Corporation,Y,http://www.datawatch.com/privacy-policy/,2,3,3,2,3,3,1,2,2,2
Qumu Corporation,Y,https://www.qumu.com/privacy,2,3,3,3,3,3,2,2,2,2
Intuit Inc.,Y,https://security.intuit.com/privacy/,2,3,3,2,3,3,2,2,2,2
"FalconStor Software, Inc.",Y,http://falconstor.com/page/511/privacy-policy,2,3,3,2,3,3,2,2,2,2
"ACI Worldwide, Inc.",Y,http://www.aciworldwide.com/privacy-policy.aspx,2,2,3,2,3,3,2,2,2,3
"GSE Systems, Inc.",Y,http://www.gses.com/privacy-policy,2,3,3,2,3,3,2,2,2,2
"Smith Micro Software, Inc.",delete,http://www.smithmicro.com/privacy,3,3,3,2,3,3,2,2,2,3
"Nuance Communications, Inc.",Y,http://www.nuance.com/company/company-overview/company-policies/privacy-policies/index.htm?ref=footer,2,3,3,2,3,3,1,2,2,2
"ARI Network Services, Inc.",delete,http://arinet.com/category/policies/,2,3,3,2,3,3,2,2,2,2
EarthLink Holdings Corp.,Y,http://www.earthlink.net/about/policies/privacy/,2,3,3,2,3,3,2,2,2,2
Autobytel Inc.,Y,http://www.autobytel.com/privacy-policy/,2,2,3,2,2,3,1,2,3,2
"Best Buy Co., Inc.",Y,http://www.bestbuy.com/site/legal-privacy-policies/privacy-policy/pcmcat204400050062.c?id=pcmcat204400050062,2,3,3,2,3,3,2,2,2,2
Educational Development Corporation,Y,http://www.edcpub.com/legal.aspx,2,3,3,3,3,3,2,2,2,2
"Fossil Group, Inc.",Y,http://www.fossilgroup.com/privacy-policy/,1,1,3,1,3,3,2,2,2,1
Avery Dennison Corporation,delete,http://www.averydennison.com/en/home/legal-privacy-notices.html,2,3,3,2,3,2,2,1,3,2
"The Bon-Ton Stores, Inc.",delete,http://www.bonton.com/content/customer-service/privacy-policy/content1.html,1,1,1,1,3,3,2,1,1,3
"Fred&#39;s, Inc.",delete,https://www.fredsinc.com/corporate/about-us/privacy-policy/,2,3,3,2,3,3,2,1,1,3
Costco Wholesale Corporation,Y,http://www.costco.com/privacy-policy.html,2,2,3,2,2,3,2,2,2,3
"Dollar Tree, Inc.",Y,http://www.dollartree.com/custserv/custserv.jsp?pageName=Privacy,2,3,3,2,3,3,2,1,1,3
"PriceSmart, Inc.",Y,https://shop.pricesmart.com/ar/en/privacy,2,2,3,2,3,2,2,1,3,1
Electro Rent Corporation,Y,http://www.electrorent.com/privacy,2,2,3,2,3,2,2,1,1,2
"Paychex, Inc.",Y,http://www.paychex.com/corporate/privacy.aspx,2,2,2,2,3,3,2,1,2,2
McGrath RentCorp,Y,http://www.mgrc.com/Privacy,2,3,3,2,3,2,1,1,1,3
"Allscripts Healthcare Solutions, Inc.",Y,http://www.allscripts.com/privacy-policy,2,3,3,2,3,2,2,1,3,2
"TSR, Inc.",Y,http://www.tsrconsulting.com/Website_Privacy_Policy.php,2,3,3,2,3,3,2,1,3,2
Scientific Games Corp,Y,http://www.scientificgames.com/privacy-policy/,2,3,3,1,3,3,2,1,1,3
"Jack Henry & Associates, Inc.",Y,https://www.jackhenry.com/more-from-jha/pages/privacy-policy.aspx,2,3,3,3,3,2,2,1,1,2
Black Hills Corporation,duplicate,https://www.cleco.com/privacy-policy,2,2,2,2,3,3,2,1,1,2
Calpine Corporation,delete,https://www.dom.com/corporate/footer-folder/privacy,2,2,2,2,3,2,2,1,3,2
Analogic Corporation,Y,http://www.analogic.com/privacy-policy.htm,2,3,3,2,3,2,1,1,1,3
Data I/O Corporation,Y,http://www.dataio.com/privacystatement.aspx,2,2,3,2,3,2,1,1,1,2
Dataram Corporation,Y,http://corporate.dataram.com/privacy-policy,3,3,3,3,3,3,2,1,1,2
KLA-Tencor Corporation,Y,http://www.kla-tencor.com/privacy-policy.html,1,1,1,1,1,1,1,2,1,1
Matrix Service Company,Y,http://www.matrixservicecompany.com/privacy-policy,1,1,1,1,1,1,1,1,1,1
"SunOpta, Inc.",Y,http://www.sunopta.com/privacy.aspx,1,1,1,1,1,1,1,2,1,1
"The Andersons, Inc.",Y,http://www.andersonsinc.com/privacy,2,2,2,2,2,1,1,2,3,1
Walter Investment Management Corp.,Y,http://www.walterinvestment.com/privacy.html,1,1,1,1,1,1,1,1,1,2
American Express Company,Y,https://www.americanexpress.com/us/content/legal-disclosures/online-privacy-statement.html,1,1,1,1,1,3,2,3,2,2
Dun & Bradstreet Corporation (The),Y,http://www.dnb.com/utility-pages/privacy-policy.html,2,3,3,2,3,3,2,1,1,2
"Equifax, Inc.",delete,https://help.equifax.com/app/answers/detail/a_id/29,1,1,1,1,1,3,2,3,1,2
Xylem Inc.,Y,http://www.xyleminc.com/en-us/pages/privacy-policy.aspx,1,1,1,1,1,1,1,2,1,1
Gorman-Rupp Company (The),Y,http://gormanrupp.com/privacy-policy/,1,1,1,1,1,3,1,2,1,1
"Whole Foods Market, Inc.",Y,http://www.wholefoodsmarket.com/privacy-policy,1,1,1,1,1,3,1,3,3,2
Kroger Company (The),Y,https://www.kroger.com/topic/pharmacy-privacy-notice,1,1,1,1,1,1,2,2,1,1
"Rave Restaurant Group, Inc.",Y,http://www.pizzainn.com/privacy-policy/,3,3,3,3,3,1,1,3,1,1
"Patrick Industries, Inc.",delete,http://www.patrickind.com/privacy/,1,1,1,1,1,1,1,2,1,1
"Bassett Furniture Industries, Incorporated",duplicate,http://www.bassettfurniture.com/customer-service/privacy-and-terms.asp,1,1,1,1,1,1,1,1,1,1
"Flexsteel Industries, Inc.",Y,http://www.flexsteel.com/about-us/privacy,1,1,1,1,1,3,1,3,1,1
H. B. Fuller Company,Y,http://www.hbfuller.com/north-america/privacy,1,1,1,1,1,1,1,1,1,1
"Fortune Brands Home & Security, Inc.",Y,http://www.fbhs.com/privacy-policy,1,1,1,1,1,3,1,3,3,1
"A V Homes, Inc.",Y,http://www.avhomesinc.com/privacy-policy/,1,1,1,1,1,1,1,2,1,1
"Stratus Properties, Inc.",Y,http://www.stratusproperties.com/terms.aspx,2,2,2,2,2,1,1,1,1,1
"Healthways, Inc.",Y,http://www.healthways.com/privacy,2,3,3,2,2,3,1,3,1,2
"Isle of Capri Casinos, Inc.",Y,http://www.islecorp.com/privacy.html,2,2,2,2,2,1,1,2,2,2
Acme United Corporation.,Y,http://www.acmeunited.com/Footer/Privacy+Policy/Privacy+Policy/946,2,2,2,2,2,3,1,3,3,2
"Hurco Companies, Inc.",Y,http://www.hurco.com/en-us/about-hurco/Pages/Privacy-Policy.aspx,2,2,2,2,2,3,1,2,1,1
"MOCON, Inc.",Y,http://www.mocon.com/privacy.html,2,2,2,2,2,1,1,2,1,2
MTS Systems Corporation,Y,http://www.mts.com/en/privacy/index.htm,2,2,2,2,2,3,1,2,2,2
Nordson Corporation,Y,http://www.nordson.com/en/our-company/legal/privacy-statement,1,1,1,1,1,3,1,2,1,1
Tennant Company,Y-Unicode,http://www.tennantco.com/am-en/Pages/privacy-policy.aspx#UniqueContentTabId2Tab,2,2,2,2,2,1,1,2,3,2
Tecumseh Products Company,Y-Unicode,http://www.tecumseh.com/en/Corporate/Privacy,2,2,2,2,2,3,1,2,3,1
WSI Industries Inc.,Delete,http://www.wsiindustries.com/privacy-policy/,2,3,3,2,2,1,1,3,1,1
"Maxwell Technologies, Inc.",Y-Unicode,http://www.maxwell.com/about_us/privacy-policy,1,1,1,1,1,3,1,3,1,1
"Electro Scientific Industries, Inc.",Y-Unicode,http://www.esi.com/About/PrivacyPolicy.aspx,2,2,2,2,2,3,1,3,3,2
"Mesa Laboratories, Inc.",Y-Unicode,http://drycal.mesalabs.com/privacy-policy/,3,3,3,3,3,3,1,3,2,2
Lam Research Corporation,Y-Unicode,http://www.lamresearch.com/privacy-statement,1,1,1,1,1,1,1,2,1,2
"Lawson Products, Inc.",Y-Unicode,http://www.lawsonproducts.com/common/privacy-and-policy.jsp?pageId=kentprivacypolicy,1,1,1,1,1,1,1,2,3,2
"Lakeland Industries, Inc.",Y-Unicode,http://www.lakeland.com/privacy-policy,2,2,2,2,2,3,1,2,1,2
HollyFrontier Corporation,Y-Unicode,http://www.hollyfrontier.com/privacy-statement/default.aspx,1,1,1,1,1,1,1,1,1,1
Imperial Oil Limited,Y-Unicode,http://www.imperialoil.ca/Canada-English/privacy.aspx,2,2,2,2,2,1,1,1,3,1
"KCG Holdings, Inc.",Delete,https://www.kcg.com/legal/privacy,2,2,2,2,2,1,1,1,1,1
SEI Investments Company,Y-Unicode,http://www.seic.com/enUS/93.htm,2,3,3,2,3,2,2,2,2,2
"T. Rowe Price Group, Inc.",Y-Unicode,http://corporate.troweprice.com/ccw/home/privacyPolicy.do,2,3,3,2,3,3,2,2,2,2
"WisdomTree Investments, Inc.",Y-Unicode,http://www.wisdomtree.com/privacy-policy.aspx,2,3,3,3,3,3,2,2,2,2
"AMERIPRISE FINANCIAL SERVICES, INC.",Y-Unicode,http://financial.thomsonreuters.com/en/privacy-statement.html,2,3,3,2,3,3,2,2,2,2
Fortress Investment Group LLC,Y-Unicode,http://www.fortress.com/PrivacyStatement.aspx,2,3,3,2,3,3,2,2,3,2
"Value Line, Inc.",Y-Unicode,http://www.valueline.com/Privacy.aspx,2,3,3,2,3,3,2,2,3,2
"U.S. Global Investors, Inc.",Y-Unicode,http://www.usfunds.com/privacy-policy/#.Ve9d5mTBzGc,2,3,3,2,3,3,2,2,1,2
American National Insurance Company,Y-Unicode,http://www.anico.com/CustomerSupport/PrivacyPolicies/index.htm,2,2,2,2,3,2,2,1,3,1
"Citizens, Inc.",Y-Unicode,http://www.citizensinc.com/?p=privacy-disclosure,2,2,2,2,2,2,2,2,1,1
"Popular, Inc.",Y-Unicode,http://www.popular.com/en/privacy,2,2,2,1,3,2,2,2,2,1
Fifth Third Bancorp,Y-Unicode,https://www.53.com/privacy-security/online-privacy-policy.html,2,3,3,2,2,3,2,2,2,1
Fulton Financial Corporation,Y-Unicode,http://www.fult.com/privacy_prin.asp,2,3,3,2,3,3,2,2,2,2
CVB Financial Corporation,Y-Unicode,https://www.cbbank.com/privacy/,2,3,3,2,3,3,2,2,2,2
"First Midwest Bancorp, Inc.",Delete,https://www.firstmidwest.com/privacy.aspx,2,3,3,3,3,3,2,2,2,2
TrustCo Bank Corp NY,Y-Unicode,http://www.trustcobank.com/page/privacy-policy-49.html,2,3,3,2,3,3,2,2,2,2
"Glacier Bancorp, Inc.",Y-Unicode,http://www.snl.com/PrivacyPolicy.aspx,2,3,3,2,3,3,2,2,2,2
"Green Plains, Inc.",Y-Unicode,http://www.gpreinc.com/terms-of-use/,2,3,3,2,3,3,1,2,2,2
WD-40 Company,Y-Unicode,http://wd40.com/privacy,2,2,2,2,2,3,2,2,3,2
Balchem Corporation,Y-Unicode,http://www.balchem.com/terms-conditions,3,3,3,2,3,2,1,2,1,1
Methanex Corporation,Y-Unicode,https://www.methanex.com/privacy-policy,2,3,3,3,3,2,1,1,3,2
"Nature&#39;s Sunshine Products, Inc.",Y-Unicode,http://www.naturessunshine.com/us/general/privacystatement/,2,2,3,2,3,3,2,2,1,2
"AMAG Pharmaceuticals, Inc.",Y-Unicode,http://www.amagpharma.com/privacy-policy/,2,3,3,2,3,1,2,3,3,2
Celgene Corporation,Y-Unicode,http://www.celgene.com/privacy-policy/,2,3,3,3,2,3,1,3,3,2
"Heron Therapeutics, Inc.",Y-Unicode,http://www.herontx.com/privacy,2,3,3,3,3,3,2,1,3,2
"Akorn, Inc.",Y-Unicode,http://www.akorn.com/foot_legal.php,2,3,3,2,3,3,2,2,1,1
"Juniper Pharmaceuticals, Inc.",Y-Unicode,http://www.juniperpharma.com/privacy/,2,3,3,3,2,2,1,1,1,1
QLT Inc.,Y-Unicode,http://www.qltinc.com/privatePolicy.htm,2,3,3,2,3,3,1,1,1,2
"ImmunoGen, Inc.",Y-Unicode,http://www.immunogen.com/privacy-policy,3,3,3,3,3,2,1,1,1,1
"Regeneron Pharmaceuticals, Inc.",Y-Unicode,http://www.regeneron.com/privacy,2,3,3,2,2,3,1,3,1,2
Perrigo Company,Y-Unicode,http://www.perrigo.com/privacy.aspx,2,3,3,1,3,3,2,1,1,1
Carnival Corporation,Y-Unicode,http://phx.corporate-ir.net/phoenix.zhtml?c=140690&p=irol-privacy,2,3,3,1,3,3,2,2,1,2
"Enzo Biochem, Inc.",Y-Unicode,http://www.enzo.com/footer-links/privacy-policy,2,3,3,2,3,3,1,2,3,1
Kewaunee Scientific Corporation,Y-Unicode,http://www.kewaunee.com/templates/Blanktemplate.aspx?CID=453,2,2,3,2,3,3,1,2,1,2
Newport Corporation,Y-Unicode,http://www.newport.com/cms/company/privacy-policy,2,2,3,2,3,1,2,1,1,2
ATRION Corporation,Y-Unicode,http://www.atrioncorp.com/about/privacy.asp,2,3,3,3,3,2,1,1,1,2
Daxor Corporation,Y-Unicode,http://www.daxor.com/privacy-statement/,2,3,3,2,3,3,2,2,2,2
DENTSPLY International Inc.,Y-Unicode,http://www.dentsply.com/en/other/privacy-policy.html,2,3,3,2,3,3,2,2,2,2
MGC Diagnostics Corporation,Y-Unicode,http://mgcdiagnostics.com/about/privacy-policy,2,3,3,2,3,3,2,2,2,2
"Merit Medical Systems, Inc.",Y-Unicode,http://www.merit.com/about/privacy-policy.aspx,3,3,3,2,3,3,2,2,2,2
"TransEnterix, Inc.",Y-Unicode,http://www.transenterix.com/company/privacy-policy/,2,3,3,2,3,3,2,2,2,2
"ICU Medical, Inc.",delete,http://www.icumed.com/privacy-policy.aspx,2,3,3,3,3,3,2,2,2,2
"U.S. Physical Therapy, Inc.",Y-Unicode,http://corporate.usph.com/corporate/privacy.aspx,2,3,3,3,3,3,2,2,2,2
Kaiser Aluminum Corporation,Y-Unicode,http://www.kaiseraluminum.com/privacy-policy/,2,3,3,2,3,3,2,2,2,2
"GulfMark Offshore, Inc.",Y-Unicode,http://www.gulfmark.com/privacy-policy.html,2,3,3,3,3,3,2,2,2,2
VSE Corporation,Y-Unicode,http://www.vsecorp.com/legal/privacy.html,2,3,3,2,3,3,1,2,2,2
"Daktronics, Inc.",Y-Unicode,http://www.daktronics.com/en-us/about-us/privacy-notice,2,3,3,2,3,3,2,2,2,2
"Harley-Davidson, Inc.",Y-Unicode,http://www.harley-davidson.com/content/h-d/en_US/footer/utility/privacy-policy.html,2,3,3,2,3,3,2,3,2,2
Enbridge Inc,Y-Unicode,http://www.enbridge.com/PrivacyPolicy.aspx,2,3,3,2,3,3,1,2,2,2
"TC PipeLines, LP",Y-Unicode,http://www.tcpipelineslp.com/your-privacy.html,2,3,3,2,3,3,2,2,2,2
Buckeye Partners L.P.,Y-Unicode,http://www.buckeye.com/Inicio/tabid/133/ctl/Privacy/language/en-US/Default.aspx,2,3,3,2,3,3,2,2,2,2
Enterprise Products Partners L.P.,Y-Unicode,http://www.enterpriseproducts.com/misc/privacyPolicy.shtm,2,3,3,2,3,3,2,2,2,2
Daily Journal Corp. (S.C.),delete,http://www.dailyjournal.com/public/DJC%20Website%20Privacy%20Policy.htm,2,3,3,3,3,3,2,2,2,2
"Herman Miller, Inc.",delete,http://www.hermanmiller.com/about-us/who-is-herman-miller/legal/privacy-policy.html,2,3,3,2,3,3,1,2,2,2
"Diebold, Incorporated",Y-Unicode,http://www.diebold.com/privacy-policy,2,3,3,2,3,3,2,2,2,2
Par Petroleum Corporation,Y-Unicode,http://www.parpacific.com/profiles/main/Disclaimer.asp?BzID=2193,2,3,3,3,3,2,2,1,1,1
"Patterson-UTI Energy, Inc.",Y-Unicode,http://www.patenergy.com/privacy/,2,3,3,3,3,3,2,1,1,1
"Expeditors International of Washington, Inc.",Y-Unicode,http://www.expeditors.com/privacy/index.asp,2,3,3,3,3,2,2,1,2,1
"AGL Resources, Inc.",Y-Unicode,http://www.aglresources.com/universal/privacy_policy.aspx,2,3,3,3,3,2,2,1,1,2
"Superior Energy Services, Inc.",Y-Unicode,http://www.superiorenergy.com/privacy/index.asp,2,3,3,3,3,3,2,1,2,1
"National Presto Industries, Inc.",delete,http://www.gopresto.com/information/privacy.php,2,2,3,3,3,2,1,1,2,1
"Team, Inc.",Y-Unicode,http://www.teamindustrialservices.com/privacy-policy,2,2,3,2,3,2,2,1,1,2
Outerwall Inc.,delete,http://www.outerwall.com/privacy,1,3,3,1,1,2,2,2,2,2
Aceto Corporation,Y-Unicode,http://www.aceto.com/privacypolicy.html,2,3,3,3,3,2,2,2,1,2
AmerisourceBergen Corporation (Holding Co),Y-Unicode,http://www.amerisourcebergen.com/abcnew/privacy-policy.aspx,2,3,2,2,3,3,1,1,1,1
"Staples, Inc.",duplicate,http://www.staples.com/sbd/content/help-center/policies-and-legal.html#10008_2,1,2,2,1,1,3,2,2,2,1
"Perfumania Holdings, Inc",Y-Unicode,http://www.perfumaniaholdings.com/privacy-policy,1,3,3,1,1,3,2,1,2,1
Lancaster Colony Corporation,Y-Unicode,http://www.lancastercolony.com/privacy-policy,2,2,3,2,3,3,2,1,2,2
Ferro Corporation,Y-Unicode,http://www.ferro.com/Privacy+Statement/,2,3,3,3,3,3,2,2,1,1
"Myers Industries, Inc.",Y-Unicode,http://www.myersindustries.com/Privacy-Policy.aspx,2,3,3,3,3,3,2,1,1,1
CECO Environmental Corp.,Y-Unicode,http://www.cecoenviro.com/privacy-policy,2,3,3,3,3,3,1,1,1,1
UNITIL Corporation,Y-Unicode,http://unitil.com/privacy,2,2,2,2,2,1,1,2,1,2
Pan American Silver Corp.,Y-Unicode,http://www.panamericansilver.com/legal-notice/,3,3,3,3,3,1,1,1,1,2
"Kelly Services, Inc.",Y-Unicode,http://www.kellyservices.com/Global/Privacy_Statement/,1,1,1,1,1,1,1,3,2,2
"RCM Technologies, Inc.",Y-Unicode,http://www.rcmt.com/About-RCM/Privacy-Policy.aspx,1,1,1,1,1,1,1,2,1,2
"On Assignment, Inc.",Y-Unicode,http://www.onassignment.com/privacy-policy,2,2,2,2,2,1,1,2,2,2
"Baldwin & Lyons, Inc.",Y-Unicode,http://www.baldwinandlyons.com/privacy-policy,1,1,1,1,1,1,1,1,1,1
Cincinnati Financial Corporation,delete,https://www.cinfin.com/privacy-policy,2,2,2,2,2,3,1,1,1,2
"Selective Insurance Group, Inc.",Y-Unicode,http://www.selective.com/privacy-policy.aspx,2,2,2,2,2,3,1,3,3,1
EMC Insurance Group Inc.,Y-Unicode,http://www.emcins.com/Misc/Privacy_Policy.aspx,2,2,2,2,2,3,3,2,3,1
"Donegal Group, Inc.",Y-Unicode,http://www.donegalgroup.com/privacy-statement,2,2,2,2,2,1,1,1,1,1
Marriot Vacations Worldwide Corporation,Y-Unicode,http://www.marriottvacationsworldwide.com/privacy.shtml,2,2,3,1,2,3,1,2,2,2
"Alexander & Baldwin Holdings, Inc.",Y-Unicode,http://alexanderbaldwin.com/disclaimer-and-privacy/,2,3,3,3,3,2,3,1,2,3
Consolidated-Tomoka Land Co.,Y-Unicode,http://www.ctlc.com/privacy-statement/,2,3,3,2,3,3,2,2,2,2
"Maui Land & Pineapple Company, Inc.",delete,http://www.admin.mauiland.com/about/privacy-policy-legal-notices,2,3,3,2,3,2,1,2,2,2
"Cedar Realty Trust, Inc.",Y-Unicode,http://www.cedarrealtytrust.com/privacy.aspx,2,3,3,2,3,2,1,2,2,2
Lamar Advertising Company,Y-Unicode,http://www.lamar.com/About/PrivacyPolicy,2,3,3,2,2,3,2,2,2,1
Johnson Outdoors Inc.,Y-Unicode,http://www.johnsonoutdoors.com/corporate/contact/PrivacyPolicy.aspx,2,3,3,2,3,2,1,2,2,2
"Bob Evans Farms, Inc.",Y-Unicode,https://www.bobevans.com/aboutus/privacy-and-legal,2,3,3,2,3,3,1,2,2,2
"Cracker Barrel Old Country Store, Inc.",Y-Unicode,http://www.crackerbarrel.com/privacy-policy/,2,3,3,2,2,3,1,2,2,2
Good Times Restaurants Inc.,Y-Unicode,http://goodtimesburgers.com/legal/,2,3,3,3,3,2,1,2,2,2
Sonic Corp.,Y-Unicode,https://www.sonicdrivein.com/privacy,1,1,3,1,1,1,1,2,1,1
Panera Bread Company,Y-Unicode,https://www.panerabread.com/en-us/company-information/privacy-policy.html,2,2,3,2,2,3,1,3,3,2
Starbucks Corporation,Y-Unicode,http://www.starbucks.com/about-us/company-information/online-policies/privacy-policy,2,2,3,2,3,3,1,2,2,2
Tech Data Corporation,duplicate,http://www.techdata.com/content/visitor/abouttd/privacy.aspx,2,2,2,3,2,2,1,1,1,2
"Washington Federal, Inc.",delete,https://www.washingtonfederal.com/privacy-and-security,2,2,2,2,2,3,1,2,2,2
"People&#39;s United Financial, Inc.",Y-Unicode,https://www.peoples.com/peoples/Privacy-Information,2,2,2,2,3,2,1,1,2,2
HF Financial Corp.,Y-Unicode,https://www.homefederal.com/company_information/privacy_policy/,3,2,2,2,3,1,1,1,2,1
"Sigma Designs, Inc.",Y-Unicode,http://www.sigmadesigns.com/privacy/,3,3,3,3,3,3,1,2,1,2
"Maxim Integrated Products, Inc.",Y-Unicode,http://www.maximintegrated.com/en/aboutus/legal/privacy-policy.html,2,3,3,2,3,3,1,3,1,2
Altera Corporation/Intel,Y-Unicode,https://www.altera.com/about/privacy.smartphone.highResolutionDisplay.html,2,2,3,2,3,3,2,2,1,2
"Churchill Downs, Incorporated",Y-Unicode,http://www.churchilldownsincorporated.com/our_company/privacy_policy.html,2,3,3,3,3,3,1,2,2,1
Sigma-Aldrich Corporation,Y-Unicode,http://www.sigmaaldrich.com/help-welcome/registration/privacy-policy.html,2,3,3,2,3,3,1,2,2,2
CorVel Corp.,Y-Unicode,http://www.corvel.com/privacy-policy/,2,3,3,2,3,3,1,2,1,1
Sprint Corporation,Y-Unicode,http://goodworks.sprint.com/people/customers/privacy?INTNAV=Footer:Privacy,2,3,3,3,3,3,2,2,2,2
"XG Technology, Inc",Y-Unicode,http://www.xgtechnology.com/privacy-policy/,2,3,3,2,3,3,2,2,1,1
Cablevision Systems Corporation,Y-Unicode,https://www.optimum.net/pages/PrivacyExisting.html,2,1,3,1,1,3,1,1,2,1
TiVo Inc.,Y-Unicode,http://www.tivo.com/legal/privacy,2,3,3,2,2,3,2,2,3,2
"Crown Media Holdings, Inc.",Y-Unicode,http://www.hallmarkchannel.com/privacy-policy,2,3,3,2,3,3,1,1,3,1
Time Warner Inc.,Y-Unicode,http://www.timewarner.com/legal-and-privacy,1,3,3,1,3,3,1,2,1,2
Walt Disney Company (The),Y-Unicode,https://disneyprivacycenter.com/,2,2,3,2,2,1,1,3,3,2
Air Methods Corporation,Y-Unicode,http://www.airmethods.com/airmethods/other/hipaa-privacy-statement#.Ve-wjmTBzGc,2,3,3,3,3,2,3,1,1,1
"Knight Transportation, Inc.",Y-Unicode,http://www.knighttrans.com/privacy.html,2,2,2,2,3,2,2,1,2,2
Con-way Inc.,Y-Unicode,http://www.xpologistics.com/privacy-policy,2,2,3,2,2,3,2,2,2,2
"United Parcel Service, Inc.",Y-Unicode,http://www.ups.com/content/us/en/resources/ship/terms/privacy.html?WT.svl=Footer,2,3,3,2,3,3,2,2,2,1
GATX Corporation,Y-Unicode,http://www.gatx.com/wps/wcm/connect/gatx/gatx_site/privacy+policy,2,3,3,2,3,3,2,2,2,2
"J.B. Hunt Transport Services, Inc.",Y-Unicode,http://www.jbhunt.com/privacy/,2,3,3,2,3,3,1,1,1,1
Goldfield Corporation (The),Y-Unicode,http://www.goldfieldcorp.com/Privacy_Policy-25.asp,3,3,3,1,3,3,1,1,1,1
"Grupo Aeroportuario del Sureste, S.A. de C.V.",Y-Unicode,http://www.asur.com.mx/en/globales/privacy-notice.html,2,3,3,2,3,2,1,2,1,1
Grupo Aeroportuario del Centro Norte S.A.B. de C.V.,Y-Unicode,http://www.oma.aero/en/privacy/,2,3,3,2,3,2,1,2,2,2
"American Airlines Group, Inc.",Y-Unicode,http://www.aa.com/i18n/footer/privacyPolicy.jsp?anchorEvent=false&from=footer,2,2,3,2,2,3,2,2,1,1
FedEx Corporation,Y,http://www.fedex.com/us/security/privacy-policy-us.html,2,2,3,2,2,3,2,2,1,2
DTE Energy Company,Y-Unicode,https://www2.dteenergy.com/wps/portal/dte/PrivacyPolicy/!ut/p/b1/04_Sj9CPykssy0xPLMnMz0vMAfGjzOKNLXz8wkxD_QNdgk0sDDzdvJxcDPw9jNy9TYAKIkEK_B2Dgk2ACkIMDFwNPIPCXAI8vC2M3X3NidNvgAM4GhDS76UflZ6TnwR0arh-FEQxHreAFeCxzM8jPzdVvyA3NKIyOCAdAODbiwU!/dl4/d5/L2dBISEvZ0FBIS9nQSEh/,2,2,2,3,3,3,1,2,2,2
Dynegy Inc.,Y-Unicode,http://www.dynegy.com/legal/privacy-policy,3,3,3,1,3,2,2,1,2,1
,,,,,,,,,,,,
,,,23,219,308,99,246,253,23,37,95,36
,,,331,180,89,250,137,116,208,271,160,308
,,,99,54,56,104,70,83,220,141,191,100
